names	cells.sorted	µl.of.RNA	sample.group	Tcell.spec	replicate.number	tissue	group	AAV.status	CART.status	files
30B	6060	20	CY	bSYN	2	blood	blood.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/30B_quant/quant.sf
31A	8057	20	TY	OVA	3	blood	blood.OVA.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/31A_quant/quant.sf
31B	7519	20	TY	bSYN	3	blood	blood.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/31B_quant/quant.sf
32A	18038	20	CY	OVA	3	blood	blood.OVA.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/32A_quant/quant.sf
32B	30254	20	CY	bSYN	3	blood	blood.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/32B_quant/quant.sf
33A	12000	20	CN	OVA	1	blood	blood.OVA.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/33A_quant/quant.sf
33B	11000	20	CN	bSYN	1	blood	blood.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/33B_quant/quant.sf
34A	18312	20	CN	OVA	2	blood	blood.OVA.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/34A_quant/quant.sf
34B	18727	20	CN	bSYN	2	blood	blood.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/34B_quant/quant.sf
35A	23939	20	TN	OVA	1	blood	blood.OVA.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/35A_quant/quant.sf
35B	20591	20	TN	bSYN	1	blood	blood.bSYN.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/35B_quant/quant.sf
36B	31122	20	CN	bSYN	3	blood	blood.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/36B_quant/quant.sf
37A	15528	20	TN	OVA	2	blood	blood.OVA.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/37A_quant/quant.sf
37B	13170	20	TN	bSYN	2	blood	blood.bSYN.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/37B_quant/quant.sf
38A	41498	20	TN	OVA	3	blood	blood.OVA.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/38A_quant/quant.sf
